Sample_Type,Genes,Ct
AA,NME2,35.46
AA,NME2,33.01
AA,NME2,32.83
AA,NME2,31.01
AA,NME2,37.52
AA,NME2,34.56
AA,NME2,34.55
AA,NME2,32.01
AA,NME2,31.2
AA,NME2,30.14
AA,NME2,28.63
Col_Neg,NME2,32.41
Col_Neg,NME2,31.83
Col_Neg,NME2,29.41
Col_Neg,NME2,34.38
Col_Neg,NME2,32.29
Col_Neg,NME2,33.08
Col_Neg,NME2,31.2
Col_Neg,NME2,31.7
Col_Neg,NME2,31.59
Col_Neg,NME2,32.66
Col_Neg,NME2,33.16
Col_Neg,NME2,33.08
Col_Neg,NME2,31.96
Col_Neg,NME2,32.53
Col_Neg,NME2,32.34
Col_Neg,NME2,33.97
Col_Neg,NME2,32.18
Col_Neg,NME2,31.72
CON,NME2,32.59
CON,NME2,30.56
CON,NME2,29.59
CON,NME2,29.4
CON,NME2,30.21
CON,NME2,28.88
CON,NME2,32.33
CON,NME2,33.62
CON,NME2,34.53
CON,NME2,30.85
CON,NME2,29.7
CON,NME2,31.76
CON,NME2,32.66
CON,NME2,34.12
CON,NME2,29.76
CON,NME2,32.45
CON,NME2,31.58
CON,NME2,32.28
CON,NME2,32.95
CON,NME2,32.54
CON,NME2,33.43
CON,NME2,32.06
CON,NME2,30.63
CON,NME2,34.7
CON,NME2,31.49
CON,NME2,34.49
CON,NME2,32.13
CON,NME2,28.9
CON,NME2,34.34
CON,NME2,28.53
CON,NME2,32.17
CON,NME2,33.24
CON,NME2,30.31
CON,NME2,33.3
CON,NME2,32.85
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,37.01
CRC,COL11A1,40
CRC,COL11A1,38.96
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
CRC,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
AA,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
Col_Neg,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
CON,COL11A1,40
